address,description,price,building_total_floors,num_bathrooms,lat,num_rooms,area,condition,floor,lng,price_sqm,building_type,ceiling_height
"Yerevan, Arabkir, Orbeli Yeghbayrner St","3 bedrooms apartment for sale in Orbeli Yeghbayrner St, Arabkir, Yerevan, 85387","80,000",5,1,40.19335760,3,79 sq. m.,newly repaired,4,44.49277590,"1,013",stone,2.8 m
"Yerevan, Center, D. Demirchyan St","3 bedrooms apartment for sale in D. Demirchyan St, Center, Yerevan, 38540","100,000",6,1,40.18924260,3,92 sq. m.,newly repaired,6,44.50756720,"1,087",stone,2.8 m
"Yerevan, Arabkir, Babayan St","2 bedrooms apartment for sale in Babayan St, Arabkir, Yerevan, 95874","85,000",6,1,40.19988740,2,78 sq. m.,good,5,44.51273280,"1,090",stone,2.8 m
"Yerevan, Arabkir, Babayan St","2 bedrooms apartment for sale in Babayan St, Arabkir, Yerevan, 79004","85,000",6,1,40.19889410,2,78 sq. m.,newly repaired,5,44.52025200,"1,090",stone,2.8 m
"Yerevan, Arabkir, N. Tigranyan St","3 bedrooms apartment for sale in N. Tigranyan St, Arabkir, Yerevan, 88596","73,000",5,1,40.20916650,3,76 sq. m.,good,5,44.52057290,961,stone,2.8 m
"Yerevan, Davtashen, Davtashen 2 district","4 bedrooms apartment for sale in new construction in Davtashen 2 district, Davtashen, Yerevan, 85724","101,000",6,2,40.22548810,4,107 sq. m.,newly repaired,2,44.49465770,944,monolit,3 m
"Yerevan, Arabkir, A. Khachatrian St","2 bedrooms apartment for sale in A. Khachatrian St, Arabkir, Yerevan, 97018","90,000",5,1,40.20245970,2,52 sq. m.,newly repaired,2,44.49174120,"1,731",stone,2.8 m
"Yerevan, Arabkir, Komitas Ave","3 bedrooms apartment for sale in Komitas Ave, Arabkir, Yerevan, 92633","95,000",9,1,40.20588500,3,91 sq. m.,newly repaired,6,44.50695200,"1,044",monolit,2.8 m
"Yerevan, Arabkir, A. Avetisyan St","2 bedrooms apartment for sale in A. Avetisyan St, Arabkir, Yerevan, 94637","91,000",16,1,40.19886710,2,83 sq. m.,good,5,44.50311980,"1,096",other,2.8 m
"Yerevan, Arabkir, Azatutyan Ave","4 bedrooms apartment for sale in Azatutyan Ave, Arabkir, Yerevan, 69087","82,000",5,1,40.20288030,4,83 sq. m.,newly repaired,3,44.52289580,988,stone,2.8 m
"Yerevan, Center, Saryan St","2 bedrooms apartment for sale in Saryan St, Center, Yerevan, 73981","110,000",7,1,40.18396170,2,87 sq. m.,newly repaired,4,44.50483740,"1,264",stone,3.2 m
"Yerevan, Arabkir, Vratsakan St","3 bedrooms apartment for sale in Vratsakan St, Arabkir, Yerevan, 96048","72,000",5,1,40.20686680,3,101 sq. m.,zero condition,5,44.51043340,713,stone,3 m
"Yerevan, Davtashen, Davtashen 1 district","4 bedrooms apartment for sale in Davtashen 1 district, Davtashen, Yerevan, 83905","70,000",14,1,40.21593520,4,106 sq. m.,good,9,44.48020140,660,panel,2.8 m
"Yerevan, Davtashen, Petrosyan St","3 bedrooms apartment for sale in Petrosyan St, Davtashen, Yerevan, 73980","82,000",14,1,40.22154870,3,80 sq. m.,good,5,44.49259602,"1,025",panel,2.8 m
"Yerevan, Davtashen, Davtashen 4 district","3 bedrooms apartment for sale in Davtashen 4 district, Davtashen, Yerevan, 87917","95,000",16,2,40.22548810,3,95000 sq. m.,newly repaired,12,44.49465770,1,panel,2.8 m
"Yerevan, Davtashen, Petrosyan St","3 bedrooms apartment for sale in Petrosyan St, Davtashen, Yerevan, 93405","88,000",9,1,40.22056968,3,73 sq. m.,good,8,44.49238969,"1,205",panel,2.8 m
"Yerevan, Center, Frik St","4 bedrooms apartment for sale in Frik St, Center, Yerevan, 95858","105,000",9,1,40.18555920,4,92 sq. m.,good,3,44.50502970,"1,141",panel,2.8 m
"Yerevan, Davtashen, Davtashen 4 district","3 bedrooms apartment for sale in new construction in Davtashen 4 district, Davtashen, Yerevan, 82347","98,000",11,2,40.22548810,3,101 sq. m.,newly repaired,10,44.49465770,970,monolit,3 m
"Yerevan, Davtashen, Davtashen 1 district","3 bedrooms apartment for sale in Davtashen 1 district, Davtashen, Yerevan, 78942","71,000",9,1,40.21593520,3,75 sq. m.,newly repaired,3,44.48020140,947,panel,2.8 m
"Yerevan, Arabkir, V.Vagharshyan St","3 bedrooms apartment for sale in V.Vagharshyan St, Arabkir, Yerevan, 67185","96,000",9,1,40.19701090,3,68 sq. m.,good,5,44.50199900,"1,412",panel,2.8 m
"Yerevan, Center, Tigran Mets Ave","3 bedrooms apartment for sale in Tigran Mets Ave, Center, Yerevan, 57219","110,000",9,1,40.16582520,3,98 sq. m.,good,2,44.51316830,"1,122",stone,2.8 m
"Yerevan, Arabkir, Komitas Ave","3 bedrooms apartment for sale in Komitas Ave, Arabkir, Yerevan, 90750","87,000",5,1,40.20579990,3,65 sq. m.,newly repaired,4,44.50622590,"1,338",stone,3.2 m
"Yerevan, Davtashen, Davtashen 2 district","3 bedrooms apartment for sale in Davtashen 2 district, Davtashen, Yerevan, 93089","75,000",9,1,40.22548810,3,75 sq. m.,good,2,44.49465770,"1,000",panel,2.8 m
"Yerevan, Arabkir, Shirvanzade St","3 bedrooms apartment for sale in Shirvanzade St, Arabkir, Yerevan, 88400","78,000",5,1,40.20889500,3,84 sq. m.,good,3,44.52530360,929,stone,3.2 m
"Yerevan, Arabkir, Kasyan St","3 bedrooms apartment for sale in Kasyan St, Arabkir, Yerevan, 93186","95,000",5,1,40.19876500,3,70 sq. m.,newly repaired,5,44.49292300,"1,357",stone,3 m
"Yerevan, Arabkir, Sundukyan St","2 bedrooms apartment for sale in Sundukyan St, Arabkir, Yerevan, 89226","85,000",7,1,40.19773420,2,74 sq. m.,newly repaired,4,44.49505820,"1,149",stone,2.8 m
"Yerevan, Davtashen, Davtashen 3 district","3 bedrooms apartment for sale in Davtashen 3 district, Davtashen, Yerevan, 79966","82,000",14,1,40.22548810,3,80 sq. m.,newly repaired,5,44.49465770,"1,025",panel,3 m
"Yerevan, Center, Sayat-Nova Ave","2 bedrooms apartment for sale in Sayat-Nova Ave, Center, Yerevan, 66703","175,000",6,1,40.18206190,2,90 sq. m.,newly repaired,6,44.52088370,"1,944",stone,2.8 m
"Yerevan, Center, Nalbandyan St","3 bedrooms apartment for sale in Nalbandyan St, Center, Yerevan, 91518","165,000",5,1,40.18157340,3,101 sq. m.,good,5,44.52004900,"1,634",stone,2.8 m
"Yerevan, Davtashen, Davtashen 2 district","2 bedrooms apartment for sale in Davtashen 2 district, Davtashen, Yerevan, 92822","77,000",15,1,40.21260200,2,52 sq. m.,newly repaired,10,44.48051610,"1,481",monolit,3 m
"Yerevan, Davtashen, Davtashen 1 district","3 bedrooms apartment for sale in Davtashen 1 district, Davtashen, Yerevan, 94670","88,000",9,1,40.21593520,3,96 sq. m.,newly repaired,2,44.48020140,917,panel,2.8 m
"Yerevan, Center, Hin yerevantsi St","3 bedrooms apartment for sale in Hin yerevantsi St, Center, Yerevan, 85339","110,000",11,1,40.18418590,3,68 sq. m.,good,3,44.51279820,"1,618",panel,2.8 m
"Yerevan, Arabkir, Mamikoniants St","2 bedrooms apartment for sale in Mamikoniants St, Arabkir, Yerevan, 97025","79,000",5,1,40.20931700,2,50 sq. m.,newly repaired,4,44.51725870,"1,580",stone,2.8 m
"Yerevan, Arabkir, Orbeli Yeghbayrner St","3 bedrooms apartment for sale in Orbeli Yeghbayrner St, Arabkir, Yerevan, 93481","75,000",9,1,40.19361970,3,74 sq. m.,newly repaired,1,44.49282200,"1,014",panel,3 m
"Yerevan, Davtashen, Davtashen 4 district","3 bedrooms apartment for sale in Davtashen 4 district, Davtashen, Yerevan, 68219","93,000",9,1,40.22548810,3,105 sq. m.,newly repaired,4,44.49465770,886,panel,2.8 m
"Yerevan, Davtashen, Petrosyan St","3 bedrooms apartment for sale in Petrosyan St, Davtashen, Yerevan, 84810","101,000",9,1,40.21782259,3,100 sq. m.,good,4,44.48994990,"1,010",panel,2.8 m
"Yerevan, Arabkir, Komitas Ave","2 bedrooms apartment for sale in Komitas Ave, Arabkir, Yerevan, 92134","65,000",5,1,40.20579990,2,50 sq. m.,newly repaired,1,44.50622590,"1,300",stone,2.8 m
"Yerevan, Arabkir, Hr.Kochar St","3 bedrooms apartment for sale in Hr.Kochar St, Arabkir, Yerevan, 73629","90,000",12,1,40.19845120,3,92 sq. m.,good,3,44.49390810,978,panel,2.8 m
"Yerevan, Arabkir, Komitas Ave","3 bedrooms apartment for sale in Komitas Ave, Arabkir, Yerevan, 84445","92,000",9,1,40.20426780,3,70 sq. m.,newly repaired,3,44.50517960,"1,314",panel,2.8 m
"Yerevan, Arabkir, Aghbyur Serob St","3 bedrooms apartment for sale in Aghbyur Serob St, Arabkir, Yerevan, 93525","85,000",5,1,40.19767030,3,79 sq. m.,good,3,44.50476450,"1,076",other,2.8 m
"Yerevan, Center, Koghbatsi St","3 bedrooms apartment for sale in Koghbatsi St, Center, Yerevan, 93414","184,000",11,1,40.17890580,3,100 sq. m.,newly repaired,9,44.50854830,"1,840",other,3 m
"Yerevan, Center, Buzand St","3 bedrooms apartment for sale in new construction in Buzand St, Center, Yerevan, 46538","160,000",8,1,40.17615750,3,73 sq. m.,newly repaired,2,44.51719910,"2,192",monolit,3 m
"Yerevan, Davtashen, Davtashen 1 district","3 bedrooms apartment for sale in Davtashen 1 district, Davtashen, Yerevan, 79500","77,000",14,1,40.21593520,3,81 sq. m.,newly repaired,5,44.48020140,951,panel,3 m
"Yerevan, Arabkir, Griboedov St","2 bedrooms apartment for sale in Griboedov St, Arabkir, Yerevan, 92377","85,000",5,1,40.20986700,2,97 sq. m.,good,5,44.51485000,876,stone,3 m
